date,issue,grp,species,spec,market,tier,low,high,unit,publisher,note
2026-09-21,150,鲢鳙类,花鲢活鱼,活鱼,北京京丰岳各庄农副产品批发市场,批发,19.00,19.00,元/公斤,农业农村部信息中心,首都主销市场当日行情
2026-09-21,150,鲢鳙类,白鲢活鱼,活鱼,北京京丰岳各庄农副产品批发市场,批发,8.40,8.40,元/公斤,农业农村部信息中心,首都主销市场当日行情
2026-09-21,150,鲢鳙类,花鲢活鱼,活鱼,北京顺鑫石门国际农产品批发市场,批发,16.00,16.00,元/公斤,农业农村部信息中心,与岳各庄同城价差3.00
2026-09-21,150,鲢鳙类,花鲢活鱼,活1500克左右,南通市区部分市场,零售,22.00,22.00,元/公斤,南通市发展和改革委员会,监测点区间20.00-26.00
2026-09-21,150,鲢鳙类,白鲢活鱼,活1000克左右,南通市区部分市场,零售,10.90,10.90,元/公斤,南通市发展和改革委员会,监测点区间5.00-6.00元/500克
2026-09-21,150,鲢鳙类,花鲢活鱼,活鱼,武汉白沙洲农副产品大市场,批发,11.80,11.80,元/公斤,农业农村部信息中心,
2026-09-21,150,鲢鳙类,白鲢活鱼,活鱼,武汉白沙洲农副产品大市场,批发,5.53,5.53,元/公斤,农业农村部信息中心,
2026-09-21,150,鲢鳙类,花鲢活鱼,活鱼,云南华潮水产批发市场,批发,16.00,16.00,元/公斤,农业农村部信息中心,昆明
2026-09-21,150,鲢鳙类,白鲢活鱼,活鱼,云南华潮水产批发市场,批发,8.00,8.00,元/公斤,农业农村部信息中心,昆明
2026-09-21,150,指数,白鲢鱼,全国批发均价,全国35个主要批发市场,均价,10.13,10.13,元/公斤,农业农村部信息中心,单日跌0.6%
2026-09-19,150,鲑鳟类,虹鳟,活鱼,乌鲁木齐北园春果业经营管理有限责任公司,批发,46.00,46.00,元/公斤,农业农村部信息中心,全国仅此一家报价
2026-09-21,150,鲑鳟类,虹鳟,活鱼,云南华潮水产批发市场,批发,60.00,60.00,元/公斤,昆明市农业农村局,当日交易量0.28吨
2026-09-21,150,鲑鳟类,金鳟,活鱼,云南华潮水产批发市场,批发,70.00,70.00,元/公斤,昆明市农业农村局,较虹鳟溢价16.7% 当日0.16吨
2026-09-22,151,鲢鳙类,花鲢活鱼,活1500克左右,华东盐城农产品交易中心,批发,16.00,16.00,元/公斤,盐城市发展和改革委员会,采价时点9月22日5时
2026-09-22,151,鲢鳙类,花鲢活鱼,活1500克左右,南通市区部分市场,零售,22.00,22.00,元/公斤,南通市发展和改革委员会,监测点区间20.00-26.00
2026-09-22,151,鲢鳙类,白鲢活鱼,活1000克左右,南通市区部分市场,零售,10.80,10.80,元/公斤,南通市发展和改革委员会,监测点区间10.00-12.00
2026-09-22,151,鲢鳙类,花鲢活鱼,约1000克,安吉农副产品综合批发市场,批发,19.00,19.00,元/公斤,安吉县相关部门,当日菜价
2026-09-22,151,鲢鳙类,白鲢活鱼,约1000克,安吉农副产品综合批发市场,批发,9.00,9.00,元/公斤,安吉县相关部门,当日菜价
2026-09-22,151,指数,白鲢鱼,全国批发均价,全国35个主要批发市场,均价,10.01,10.01,元/公斤,农业农村部信息中心,较9月21日跌1.2%
2026-09-23,152,鲢鳙类,花鲢活鱼,活鱼,北京京丰岳各庄农副产品批发市场,批发,20.00,20.00,元/公斤,农业农村部信息中心,
2026-09-23,152,鲢鳙类,白鲢活鱼,活鱼,北京京丰岳各庄农副产品批发市场,批发,8.40,8.40,元/公斤,农业农村部信息中心,
2026-09-23,152,鲢鳙类,花鲢活鱼,活1500克左右,南通市区部分市场,零售,21.86,21.86,元/公斤,南通市发展和改革委员会,10.93元/500克换算
2026-09-23,152,鲢鳙类,白鲢活鱼,活1000克左右,南通市区部分市场,零售,10.80,10.80,元/公斤,南通市发展和改革委员会,5.40元/500克换算
2026-09-23,152,鲢鳙类,花鲢活鱼,活鱼,湖北洪湖农贸市场,批发,10.82,10.82,元/公斤,农业农村部信息中心,当日全国最低
2026-09-23,152,鲢鳙类,花鲢活鱼,活鱼,重庆双福国际农贸城,批发,26.50,26.50,元/公斤,农业农村部信息中心,当日全国最高
2026-09-23,152,鲢鳙类,花鲢活鱼,活鱼,北京顺鑫石门国际农产品批发市场,批发,15.00,15.00,元/公斤,农业农村部信息中心,与岳各庄同城价差5.00
2026-09-23,152,鲢鳙类,花鲢活鱼,活鱼,武汉白沙洲农副产品大市场,批发,11.60,11.60,元/公斤,农业农村部信息中心,
2026-09-23,152,鲢鳙类,花鲢活鱼,活鱼,江西九江琵琶湖农产品批发市场,批发,14.60,14.60,元/公斤,农业农村部信息中心,
2026-09-23,152,鲢鳙类,花鲢活鱼,活鱼,广西新柳邕农产品批发市场,批发,14.60,14.60,元/公斤,农业农村部信息中心,
2026-09-23,152,鲢鳙类,花鲢活鱼,活鱼,南宁农产品批发市场,批发,15.00,15.00,元/公斤,农业农村部信息中心,
2026-09-23,152,鲢鳙类,花鲢活鱼,活鱼,云南华潮水产批发市场,批发,16.00,16.00,元/公斤,农业农村部信息中心,昆明
2026-09-23,152,鲢鳙类,花鲢活鱼,活鱼,江苏凌家塘农副产品批发市场,批发,16.00,16.00,元/公斤,农业农村部信息中心,常州
2026-09-23,152,鲢鳙类,花鲢活鱼,活鱼,河南万邦国际农产品物流城,批发,16.50,16.50,元/公斤,农业农村部信息中心,郑州
2026-09-23,152,鲢鳙类,花鲢活鱼,活鱼,山东威海农产品批发市场,批发,19.00,19.00,元/公斤,农业农村部信息中心,
